# ./go_flow.d -p 16727
CPU    PID  DELTA(us)          PACKAGE FUNCTION
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         15      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         14              fmt     <- .Fprintf
  7  40148         12              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         15              fmt     -> .Fprintf
  7  40148         16              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         14             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         18      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         13              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         14               os         -> .(*File).write
  7  40148         13          syscall           -> .Write
  7  40148         15          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         13          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         15          runtime                     <- .atomicload
  7  40148         18          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         22          runtime                     <- .asmsysvicall6
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         19          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         19          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         15          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         16      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         15              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         15      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         12              fmt   <- .Printf
  7  40148         14              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         17      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         16               os       -> .(*File).Write
  7  40148         14               os         -> .(*File).write
  7  40148         13          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         13          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         15          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         14          runtime                     <- .getcallerpc
  7  40148         17          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         14          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         21          runtime                     <- .asmsysvicall6
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         18          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         18          runtime                   -> .unlockOSThread
  7  40148         26          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         16      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         21               os         <- .epipecheck
  7  40148         17               os       <- .(*File).Write
  7  40148         16              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         15      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         14              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         17      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         15      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         15              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         13               os         -> .(*File).write
  7  40148         13          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         15          syscall               -> .Syscall
  7  40148         13          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         14          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         14          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         17          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         20          runtime                     <- .asmsysvicall6
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         18          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         18          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         17          runtime                 <- .cgocall
  7  40148         14          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         16               os         <- .(*File).write
  7  40148         19               os         -> .epipecheck
  7  40148         15      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         17      sync/atomic           -> .StoreUint32
  7  40148         17      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         12               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         19      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         18             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         12              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         14              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
  7  40148         15      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         14             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         16      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         13              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         13               os         -> .(*File).write
  3  40148         33          runtime                   <- .asmcgocall
  3  40148         22          runtime                   -> .exitsyscall
  3  40148         23          runtime                     -> .cas
  3  40148         14          runtime                     <- .cas
  7  40148         16          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         13          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         23          runtime                     -> .atomicload
  7  40148         15          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         14          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         21          runtime                     <- .asmsysvicall6
  3  40148         28          runtime                   <- .exitsyscall
  3  40148         21          runtime                   -> .unlockOSThread
  3  40148         26          runtime                   <- .unlockOSThread
  3  40148         19          runtime                 <- .cgocall
  3  40148         15          syscall               <- .Syscall
  3  40148         14          syscall             <- .write
  3  40148         13          syscall           <- .Write
  3  40148         14               os         <- .(*File).write
  3  40148         17               os         -> .epipecheck
  3  40148         16      sync/atomic           -> .StoreInt32
  3  40148         16      sync/atomic           <- .StoreInt32
  3  40148         17      sync/atomic           -> .StoreUint32
  3  40148         17      sync/atomic           <- .StoreUint32
  3  40148         16               os         <- .epipecheck
  3  40148         14               os       <- .(*File).Write
  3  40148         14              fmt       -> .(*pp).free
  3  40148         14              fmt         -> .(*cache).put
  3  40148         15             sync           -> .(*Mutex).Lock
  3  40148         17      sync/atomic             -> .CompareAndSwapInt32
  3  40148         19      sync/atomic             <- .CompareAndSwapInt32
  3  40148         20      sync/atomic             -> .CompareAndSwapUint32
  3  40148         20      sync/atomic             <- .CompareAndSwapUint32
  3  40148         18             sync           <- .(*Mutex).Lock
  3  40148         16             sync           -> .(*Mutex).Unlock
  3  40148         17      sync/atomic             -> .AddInt32
  3  40148         15      sync/atomic             <- .AddInt32
  3  40148         16      sync/atomic             -> .AddUint32
  3  40148         16      sync/atomic             <- .AddUint32
  3  40148         16             sync           <- .(*Mutex).Unlock
  3  40148         14              fmt         <- .(*cache).put
  3  40148         14              fmt       <- .(*pp).free
  3  40148         12              fmt     <- .Fprintf
  3  40148         12              fmt   <- .Printf
  3  40148         20              fmt   -> .Printf
  3  40148         13              fmt     -> .Fprintf
  3  40148         16              fmt       -> .newPrinter
  3  40148         14              fmt         -> .(*cache).get
  3  40148         14             sync           -> .(*Mutex).Lock
  3  40148         16      sync/atomic             -> .CompareAndSwapInt32
  3  40148         18      sync/atomic             <- .CompareAndSwapInt32
  3  40148         19      sync/atomic             -> .CompareAndSwapUint32
  3  40148         20      sync/atomic             <- .CompareAndSwapUint32
  3  40148         22             sync           <- .(*Mutex).Lock
  3  40148         15             sync           -> .(*Mutex).Unlock
  3  40148         15      sync/atomic             -> .AddInt32
  3  40148         15      sync/atomic             <- .AddInt32
  3  40148         16      sync/atomic             -> .AddUint32
  3  40148         15      sync/atomic             <- .AddUint32
  3  40148         15             sync           <- .(*Mutex).Unlock
  3  40148         15              fmt         <- .(*cache).get
  3  40148         15          runtime         -> .assertE2T
  3  40148         23          runtime           -> .memcopy64
  3  40148         14          runtime           <- .memcopy64
  3  40148         22          runtime         <- .assertE2T
  3  40148         15              fmt         -> .(*fmt).init
  3  40148         14              fmt           -> .(*fmt).clearflags
  3  40148         16              fmt           <- .(*fmt).clearflags
  3  40148         15              fmt         <- .(*fmt).init
  3  40148         14              fmt       <- .newPrinter
  3  40148         14              fmt       -> .(*pp).doPrintf
  3  40148         17              fmt       <- .(*pp).doPrintf
  3  40148         15               os       -> .(*File).Write
  3  40148         14               os         -> .(*File).write
  3  40148         13          syscall           -> .Write
  3  40148         13          syscall             -> .write
  3  40148         13          syscall               -> .Syscall
  3  40148         14          runtime                 -> .cgocall
  3  40148         15          runtime                   -> .lockOSThread
  3  40148         23          runtime                   <- .lockOSThread
  3  40148         16          runtime                   -> .entersyscall
  3  40148         15          runtime                     -> .getcallerpc
  3  40148         15          runtime                     <- .getcallerpc
  3  40148         15          runtime                     -> .getcallersp
  3  40148         15          runtime                     <- .getcallersp
  3  40148         21          runtime                     -> .atomicload
  3  40148         15          runtime                     <- .atomicload
  3  40148         15          runtime                     -> .atomicstore
  3  40148         15          runtime                     <- .atomicstore
  3  40148         15          runtime                   <- .entersyscall
  3  40148         15          runtime                   -> .asmcgocall
  3  40148         23          runtime                     -> .asmsysvicall6
  3  40148         26          runtime                     <- .asmsysvicall6
  3  40148         16          runtime                   <- .asmcgocall
  3  40148         20          runtime                   -> .exitsyscall
  3  40148         19          runtime                     -> .cas
  3  40148         13          runtime                     <- .cas
  3  40148         18          runtime                   <- .exitsyscall
  3  40148         19          runtime                   -> .unlockOSThread
  3  40148         25          runtime                   <- .unlockOSThread
  3  40148         18          runtime                 <- .cgocall
  3  40148         14          syscall               <- .Syscall
  3  40148         13          syscall             <- .write
  3  40148         13          syscall           <- .Write
  3  40148         13               os         <- .(*File).write
  3  40148         15               os         -> .epipecheck
 13  40148         46      sync/atomic           -> .StoreInt32
 13  40148         20      sync/atomic           <- .StoreInt32
 13  40148         24      sync/atomic           -> .StoreUint32
 13  40148         18      sync/atomic           <- .StoreUint32
 13  40148         16               os         <- .epipecheck
 13  40148         13               os       <- .(*File).Write
 13  40148         19              fmt       -> .(*pp).free
 13  40148         20              fmt         -> .(*cache).put
 13  40148         24             sync           -> .(*Mutex).Lock
 13  40148         29      sync/atomic             -> .CompareAndSwapInt32
 13  40148         32      sync/atomic             <- .CompareAndSwapInt32
 13  40148         34      sync/atomic             -> .CompareAndSwapUint32
 13  40148         34      sync/atomic             <- .CompareAndSwapUint32
 13  40148         30             sync           <- .(*Mutex).Lock
 13  40148         29             sync           -> .(*Mutex).Unlock
 13  40148         27      sync/atomic             -> .AddInt32
 13  40148         26      sync/atomic             <- .AddInt32
 13  40148         28      sync/atomic             -> .AddUint32
 13  40148         28      sync/atomic             <- .AddUint32
 13  40148         27             sync           <- .(*Mutex).Unlock
 13  40148         26              fmt         <- .(*cache).put
 13  40148         24              fmt       <- .(*pp).free
 13  40148         22              fmt     <- .Fprintf
 13  40148         22              fmt   <- .Printf
 13  40148         22              fmt   -> .Printf
 13  40148         22              fmt     -> .Fprintf
 13  40148         23              fmt       -> .newPrinter
 13  40148         23              fmt         -> .(*cache).get
 13  40148         22             sync           -> .(*Mutex).Lock
 13  40148         27      sync/atomic             -> .CompareAndSwapInt32
 13  40148         34      sync/atomic             <- .CompareAndSwapInt32
 13  40148         32      sync/atomic             -> .CompareAndSwapUint32
 13  40148         21      sync/atomic             <- .CompareAndSwapUint32
 13  40148         18             sync           <- .(*Mutex).Lock
 13  40148         15             sync           -> .(*Mutex).Unlock
 13  40148         15      sync/atomic             -> .AddInt32
 13  40148         17      sync/atomic             <- .AddInt32
 13  40148         19      sync/atomic             -> .AddUint32
 13  40148         16      sync/atomic             <- .AddUint32
 13  40148         16             sync           <- .(*Mutex).Unlock
 13  40148         14              fmt         <- .(*cache).get
 13  40148         14          runtime         -> .assertE2T
 13  40148         23          runtime           -> .memcopy64
 13  40148         14          runtime           <- .memcopy64
 13  40148         22          runtime         <- .assertE2T
 13  40148         20              fmt         -> .(*fmt).init
 13  40148         23              fmt           -> .(*fmt).clearflags
 13  40148         24              fmt           <- .(*fmt).clearflags
 13  40148         24              fmt         <- .(*fmt).init
 13  40148         21              fmt       <- .newPrinter
 13  40148         22              fmt       -> .(*pp).doPrintf
 13  40148         23              fmt       <- .(*pp).doPrintf
 13  40148         24               os       -> .(*File).Write
 13  40148         22               os         -> .(*File).write
 13  40148         18          syscall           -> .Write
 13  40148         14          syscall             -> .write
 13  40148         14          syscall               -> .Syscall
 13  40148         20          runtime                 -> .cgocall
 13  40148         16          runtime                   -> .lockOSThread
 13  40148         32          runtime                   <- .lockOSThread
 13  40148         20          runtime                   -> .entersyscall
 13  40148         16          runtime                     -> .getcallerpc
 13  40148         15          runtime                     <- .getcallerpc
 13  40148         17          runtime                     -> .getcallersp
 13  40148         17          runtime                     <- .getcallersp
 13  40148         24          runtime                     -> .atomicload
 13  40148         16          runtime                     <- .atomicload
 13  40148         16          runtime                     -> .atomicstore
 13  40148         16          runtime                     <- .atomicstore
 13  40148         17          runtime                   <- .entersyscall
 13  40148         15          runtime                   -> .asmcgocall
 13  40148         22          runtime                     -> .asmsysvicall6
 13  40148         24          runtime                     <- .asmsysvicall6
 13  40148         15          runtime                   <- .asmcgocall
 13  40148         15          runtime                   -> .exitsyscall
 13  40148         19          runtime                     -> .cas
 13  40148         13          runtime                     <- .cas
 13  40148         18          runtime                   <- .exitsyscall
 13  40148         19          runtime                   -> .unlockOSThread
 13  40148         24          runtime                   <- .unlockOSThread
 13  40148         19          runtime                 <- .cgocall
 13  40148         14          syscall               <- .Syscall
 13  40148         16          syscall             <- .write
 13  40148         15          syscall           <- .Write
 13  40148         15               os         <- .(*File).write
 13  40148         16               os         -> .epipecheck
 13  40148         17      sync/atomic           -> .StoreInt32
 13  40148         17      sync/atomic           <- .StoreInt32
 13  40148         21      sync/atomic           -> .StoreUint32
 13  40148         25      sync/atomic           <- .StoreUint32
  7  40148      10238          runtime       <- .asmsysvicall6
  7  40148         21          runtime     <- .asmcgocall
  7  40148         19          runtime   <- .sysvicall6
  7  40148         16          runtime <- .usleep
  7  40148         17          runtime -> .atomicload
  7  40148         17          runtime <- .atomicload
  7  40148         17          runtime -> .atomicload64
  7  40148         17          runtime <- .atomicload64
  7  40148         15          runtime -> .nanotime
  7  40148         16          runtime   -> .sysvicall6
  7  40148         16          runtime     -> .asmcgocall
  7  40148         15          runtime       -> .asmsysvicall6
  7  40148         15          runtime         -> .nanotime1
  7  40148         15          runtime         <- .nanotime1
  7  40148         15          runtime       <- .asmsysvicall6
  7  40148         15          runtime     <- .asmcgocall
  7  40148         14          runtime   <- .sysvicall6
  7  40148         14          runtime <- .nanotime
  7  40148         21          runtime -> .usleep
  7  40148         18          runtime   -> .sysvicall6
  7  40148         21          runtime     -> .asmcgocall
  7  40148         24          runtime       -> .asmsysvicall6
 13  40148         25               os         <- .epipecheck
 13  40148         20               os       <- .(*File).Write
 13  40148         22              fmt       -> .(*pp).free
 13  40148         23              fmt         -> .(*cache).put
 13  40148         22             sync           -> .(*Mutex).Lock
 13  40148         26      sync/atomic             -> .CompareAndSwapInt32
 13  40148         25      sync/atomic             <- .CompareAndSwapInt32
 13  40148         21      sync/atomic             -> .CompareAndSwapUint32
 13  40148         20      sync/atomic             <- .CompareAndSwapUint32
 13  40148         34             sync           <- .(*Mutex).Lock
 13  40148         24             sync           -> .(*Mutex).Unlock
 13  40148         23      sync/atomic             -> .AddInt32
 13  40148         24      sync/atomic             <- .AddInt32
 13  40148         25      sync/atomic             -> .AddUint32
 13  40148         26      sync/atomic             <- .AddUint32
 13  40148         25             sync           <- .(*Mutex).Unlock
 13  40148         23              fmt         <- .(*cache).put
 13  40148         21              fmt       <- .(*pp).free
 13  40148         16              fmt     <- .Fprintf
 13  40148         12              fmt   <- .Printf
 13  40148         12              fmt   -> .Printf
 13  40148         13              fmt     -> .Fprintf
 13  40148         13              fmt       -> .newPrinter
 13  40148         13              fmt         -> .(*cache).get
 13  40148         14             sync           -> .(*Mutex).Lock
 13  40148         16      sync/atomic             -> .CompareAndSwapInt32
 13  40148         18      sync/atomic             <- .CompareAndSwapInt32
 13  40148         21      sync/atomic             -> .CompareAndSwapUint32
 13  40148         23      sync/atomic             <- .CompareAndSwapUint32
 13  40148         20             sync           <- .(*Mutex).Lock
 13  40148         18             sync           -> .(*Mutex).Unlock
 13  40148         18      sync/atomic             -> .AddInt32
 13  40148         18      sync/atomic             <- .AddInt32
 13  40148         19      sync/atomic             -> .AddUint32
 13  40148         21      sync/atomic             <- .AddUint32
 13  40148         19             sync           <- .(*Mutex).Unlock
 13  40148         17              fmt         <- .(*cache).get
 13  40148         15          runtime         -> .assertE2T
 13  40148         23          runtime           -> .memcopy64
 13  40148         15          runtime           <- .memcopy64
  9  40148         56          runtime         <- .assertE2T
  9  40148         35              fmt         -> .(*fmt).init
  9  40148         31              fmt           -> .(*fmt).clearflags
  9  40148         31              fmt           <- .(*fmt).clearflags
  9  40148         28              fmt         <- .(*fmt).init
  9  40148         25              fmt       <- .newPrinter
  9  40148         25              fmt       -> .(*pp).doPrintf
  9  40148         27              fmt       <- .(*pp).doPrintf
  9  40148         26               os       -> .(*File).Write
  9  40148         25               os         -> .(*File).write
  9  40148         25          syscall           -> .Write
  9  40148         24          syscall             -> .write
  9  40148         30          syscall               -> .Syscall
  9  40148         24          runtime                 -> .cgocall
  9  40148         25          runtime                   -> .lockOSThread
  9  40148         39          runtime                   <- .lockOSThread
  9  40148         27          runtime                   -> .entersyscall
  9  40148         26          runtime                     -> .getcallerpc
  9  40148         25          runtime                     <- .getcallerpc
  9  40148         26          runtime                     -> .getcallersp
  9  40148         25          runtime                     <- .getcallersp
  9  40148         34          runtime                     -> .atomicload
  9  40148         24          runtime                     <- .atomicload
  9  40148         24          runtime                     -> .atomicstore
  9  40148         26          runtime                     <- .atomicstore
  9  40148         26          runtime                   <- .entersyscall
  9  40148         23          runtime                   -> .asmcgocall
  9  40148         33          runtime                     -> .asmsysvicall6
  9  40148         38          runtime                     <- .asmsysvicall6
  9  40148         30          runtime                   <- .asmcgocall
  9  40148         28          runtime                   -> .exitsyscall
  9  40148         35          runtime                     -> .cas
  9  40148         23          runtime                     <- .cas
  9  40148         33          runtime                   <- .exitsyscall
  9  40148         34          runtime                   -> .unlockOSThread
  9  40148         41          runtime                   <- .unlockOSThread
  9  40148         30          runtime                 <- .cgocall
  9  40148         24          syscall               <- .Syscall
  9  40148         23          syscall             <- .write
  9  40148         22          syscall           <- .Write
  9  40148         23               os         <- .(*File).write
